video_id,Fearful,Surprised,Happy,Neutral,Disgusted,Sad,Angry
1,12.37,4.31,1.74,67.92,0,8.40
2,3.56,5.72,0.33,69.39,0,21.00
3,11.89,5.06,0.56,70.06,0,7.44
4,36.72,8.83,0,17.67,0,29.44
5,53.40,6.35,0,18.56,0,4.52
6,52.72,5.50,0,10.28,0.61,6.33
7,29.68,53.94,0,0.66,0,0.16
8,11.71,75.58,0.11,0,0.22,0.83
9,37.35,14.71,0.11,0.06,5.05,8.55
10,0,0,0,0,0,0
11,15.13,1.06,1.64,52.70,0.39,22.83
12,1.63,0.72,1.21,7.42,0.12,3.86
13,2.22,0.61,11.65,82.57,0,2.28
14,11.83,8.06,9.72,69.44,0,0.50
15,2.28,0.89,22.65,73.12,0,0.78
16,11.96,1.89,2.45,36.82,0,34.09
17,0,0,0,0,0,0
18,10.06,2.50,1.89,21.94,0.06,57.50
19,0,0,0,0,0,0
20,59.07,22.40,1.46,8.01,0.06,2.86
21,63.45,11.80,0.63,13.45,1.48,1.03
22,0,0,0,0,0,0
23,41.17,42.17,0.17,15.44,0,1.00
24,27.36,61.88,0.11,8.88,0,0.72
25,21.93,28.29,7.09,21.43,0,0.44
26,15.10,75.11,0.07,9.35,0,0.29
27,8.17,67.44,1.22,13.50,0,0
28,1.95,0.20,0.51,97.13,0,0.10
29,12.06,10.46,0.14,74.91,0.07,1.32
30,0.27,0.41,21.07,78.18,0,0.07
31,50.37,39.96,0.74,3.31,0.18,4.33
32,36.71,16.23,1.64,27.05,0,17.49
33,9.21,26.33,1.30,53.00,3.48,0.14
34,14.07,30.58,4.59,13.00,0,36.09
35,29.04,31.85,2.96,13.04,0,23.11
36,3.53,31.40,0.38,0.38,0.13,0.13
37,12.86,79.12,2.85,4.25,0.06,0
38,8.92,47.15,1.33,41.39,0,0.39
39,3.39,42.72,10.00,43.72,0,0.17
40,0,0,0,0,0,0
41,23.15,51.58,0.28,11.38,0,10.83
42,18.79,23.78,0.55,14.80,0,41.13
43,63.01,5.72,1.03,10.41,0.11,11.15
44,0,0,0,0,0,0
45,67.44,2.27,1.44,4.94,2.55,14.75
46,20.63,19.52,0.11,2.61,0,2.00
47,0,0,0,0,0,0
48,59.61,2.31,0,0.29,0,0
49,26.94,56.56,0,7.94,0,0.22
50,25.79,36.80,0.17,15.51,0,1.22
51,8.77,53.38,0,5.45,0,6.54
52,32.50,21.00,1.98,33.87,0,0.38
53,0,0,0,0,0,0
54,15.23,12.89,0.36,50.60,0,0.60
55,5.56,28.28,0,10.39,0,0.44
56,8.95,8.90,0,46.61,0.72,2.78
57,2.01,9.88,0,67.67,0.11,4.97
58,49.86,43.47,0,1.61,0,3.22
59,3.63,50.17,0,0.12,4.21,0
60,23.65,67.31,0.24,0.65,0,3.15
61,36.17,0.11,0,7.44,0,11.44
62,39.65,0.94,0,2.39,0,2.91
63,60.66,0.40,0,24.07,0,7.83
64,0,0,0,0,0,0
65,7.38,4.89,6.22,60.63,0,15.27
66,2.06,6.91,9.20,24.14,0,45.37
67,0,72.41,0,0.57,8.05,10.34
68,3.54,24.78,0,0,9.73,3.54
69,2.70,22.24,0.77,0,1.93,0.77
70,11.94,51.84,0.42,10.55,0,24.15
71,27.06,21.45,0,20.38,2.74,23.36
72,16.93,12.67,0,16.27,0.27,46.80
73,3.26,35.87,0,16.30,0,0
74,0,0,0,0,0,0
75,92.43,0.06,0,2.25,0,5.14
76,42.27,6.46,1.90,11.88,0.17,32.24
77,19.26,11.81,4.82,40.15,1.34,22.12
78,0,0,0,0,0,0
79,30.07,4.98,14.11,39.26,0,5.69
80,16.78,30.82,5.21,33.10,0,2.33
81,6.14,16.29,5.99,65.02,0,4.06
82,23.93,0.24,0,5.45,0,3.79
83,45.35,0,0,41.42,0,1.60
84,34.32,0,0,33.47,0,4.87
85,39.22,37.44,15.24,3.57,0,1.38
86,20.04,45.12,4.44,5.65,1.08,13.99
87,7.62,13.53,8.05,36.61,0.50,28.49
88,0,0,0,0,0,0
89,2.53,0.08,32.16,60.48,0,3.15
90,17.11,0.88,41.70,31.50,0.37,7.20
91,28.59,5.33,26.83,6.02,2.07,8.53
92,20.95,29.59,7.56,25.05,0,3.67
93,25.43,51.40,0.86,5.28,4.96,4.53
94,34.05,6.09,2.26,11.93,0.50,0.25
95,4.52,43.07,4.15,27.24,1.89,2.36
96,1.27,0.22,2.83,79.60,0,15.85
97,89.17,6.05,1.67,0.72,0,2.39
98,71.26,13.10,12.49,2.02,0,1.07
99,6.42,1.85,8.87,80.85,0,0.98
100,92.77,4.06,2.89,0.22,0,0.06
101,18.58,6.48,0.45,14.89,0.06,0
102,58.78,33.72,0.39,0.78,0,6.33
103,76.56,0,0,22.33,0,0.33
104,15.46,2.42,3.69,18.19,3.44,8.40
105,0.55,0,0,99.06,0,0.22
106,0,0,0,0,0,0
107,22.48,0,0,1.80,64.39,0.36
108,22.42,1.74,1.10,2.76,63.85,1.26
109,29.31,55.52,0.11,9.53,0,3.27
110,3.13,0.18,17.62,73.66,0,0.12
111,46.38,0.10,0,32.09,0,21.43
112,31.37,0.06,5.77,7.22,34.31,0.67
113,33.94,0.06,7.44,10.11,27.44,1.33
114,40.83,0,1.17,12.83,27.56,1.56
115,39.97,0.11,4.53,8.84,23.00,1.77
116,39.36,0.16,7.98,15.00,24.67,4.12
117,34.78,0,1.86,24.59,28.37,0.96
118,94.30,0.53,0.18,0,2.67,0.71
119,99.36,0.38,0,0.13,0.13,0
120,99.28,0,0,0.56,0.06,0.06
121,5.16,4.93,0,87.01,0,0
122,31.68,17.29,0.06,39.26,0,0.06
123,4.88,16.71,0.36,77.62,0,0.14
124,0,17.14,57.14,5.71,5.71,0
125,49.73,14.81,1.28,30.90,0,0.18
126,0.96,0.18,85.82,5.47,0,4.33
127,16.05,10.84,2.24,35.61,0.18,33.37
128,6.80,27.63,8.78,36.41,0.11,12.12
129,40.44,0.12,0.80,41.49,5.86,5.61
130,68.68,0.65,5.88,18.68,0,5.56
131,25.16,5.46,7.65,57.48,0,4.25
132,47.09,12.65,14.01,23.24,0,1.27
133,62.47,8.80,3.97,15.88,1.73,2.33
134,69.19,1.38,7.90,5.66,0.92,5.79
135,63.58,11.67,5.91,9.03,2.02,4.44
136,30.43,17.39,8.70,0,4.35,0
137,17.78,40.00,2.22,2.22,2.22,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,4.66,7.90,4.27,39.38,0,13.99
141,1.89,0.11,2.27,77.04,0,11.37
142,21.79,5.13,0,16.67,0,0
143,0,0,0,0,0,0
144,5.18,58.40,0.28,27.99,0,6.50
145,6.97,41.73,2.21,39.96,0,8.30
146,14.78,55.72,0.11,26.28,0,3.00
147,0,0,0,0,0,0
148,26.32,16.36,2.99,9.96,0,31.01
149,21.44,0.44,10.22,6.44,0,61.44
150,24.28,30.64,26.94,2.54,0,4.28
151,57.58,6.06,33.33,0,0,3.03
152,32.22,27.23,27.30,0.21,1.07,4.99
153,5.79,1.16,81.85,4.63,5.41,1.16
154,65.45,0.91,14.55,4.55,0,14.55
155,12.69,52.28,18.02,11.93,4.31,0.25
156,57.89,1.33,0.11,35.67,0,2.44
157,27.77,1.22,0,11.59,4.93,19.29
158,56.56,0,0,20.06,0,1.00
159,35.51,0,0.06,59.64,0.22,4.07
160,8.38,3.16,10.54,66.70,0,11.04
161,5.56,0.22,3.17,82.50,0.11,6.94
162,81.56,7.06,0,11.33,0,0
163,29.54,65.66,0,4.07,0,0
164,70.44,26.56,0.39,1.72,0,0
165,8.44,63.35,0.28,23.79,0,0
166,3.50,71.54,0.34,21.45,0,0
167,6.43,57.24,0.54,32.84,0,0
168,68.54,23.65,1.95,5.86,0,0
169,69.76,21.87,3.15,5.07,0,0.16
170,43.37,49.01,4.68,2.93,0,0
171,5.11,4.72,0.11,70.11,0,3.00
172,58.93,6.50,0.94,0.50,0,31.26
173,88.44,0.12,1.22,5.60,0,4.56
174,54.15,0,0.83,7.01,0.06,23.48
175,62.89,0.06,0,10.39,0,26.56
176,7.08,23.20,4.87,46.23,0.23,1.51
177,18.04,16.08,3.45,24.12,4.08,2.24
178,3.86,12.45,7.84,40.58,0.35,2.65
179,3.27,9.58,51.36,27.15,0.33,6.09
180,28.37,1.42,25.53,17.02,0,27.66
181,38.89,2.83,0.22,36.22,0.06,13.56
182,35.75,19.37,0.33,39.24,0,2.55
183,56.68,7.00,0.36,35.19,0,0.47
184,40.69,13.22,0,43.87,0,0.34
185,4.84,0.26,41.11,19.95,0,29.10
186,2.28,0.33,3.83,36.54,0.24,47.63
187,4.60,0,25.05,50.15,0.06,15.16
188,0,0,0,0,0,0
189,10.66,32.11,0.43,47.08,0,6.48
190,14.86,15.19,0,31.27,0,26.82
191,1.19,75.35,2.70,11.57,0.11,7.57
192,12.34,48.05,12.87,25.44,0.54,0.08
193,24.01,52.19,2.26,12.14,0.07,2.47
194,38.00,0,0,37.11,1.50,16.00
195,0,0,0,0,0,0
196,20.17,0,0,57.60,0.28,19.72
197,8.67,14.22,0,19.28,0,55.94
198,2.12,2.00,0,19.60,0,67.71
199,1.39,2.78,0.44,21.00,0,56.56
200,31.46,2.75,0.11,0.97,14.99,0.17
201,4.84,81.53,0.71,1.95,9.14,0.18
202,2.09,68.06,0.54,3.23,20.10,0.06
203,11.50,15.28,22.28,37.22,0,12.00
204,10.03,4.87,48.10,31.05,0,5.78
205,3.84,6.11,0.17,88.72,0,0.06
206,62.56,18.67,0.61,8.38,1.11,0.20
207,64.57,9.10,0.33,7.53,0.13,0.07
208,88.19,1.31,0.13,1.84,1.05,0
209,39.59,14.13,0,6.09,0.12,16.08
210,71.17,25.51,0,2.51,0,0
211,2.42,24.22,0,0.69,13.49,2.42
212,42.35,5.05,2.89,10.54,0.11,16.44
213,28.48,10.40,0.68,2.67,0.34,12.85
214,9.00,6.17,1.44,6.56,0.06,25.61
215,28.53,22.53,0,41.48,0,0.06
216,91.15,1.42,0,3.42,0,4.01
217,71.83,6.34,2.11,19.72,0,0
218,44.73,30.44,0,11.72,0,11.83
219,0,0,0,0,0,0
220,33.29,54.58,0,4.85,0,6.52
221,14.29,5.97,5.45,56.54,0,13.78
222,3.68,1.88,10.76,54.44,0.09,25.11
223,20.00,17.70,0,30.16,0,30.82
224,1.05,0.17,20.49,25.35,0,0.33
225,1.61,0.39,50.06,21.67,0.28,1.22
226,1.67,0.11,50.67,25.00,0.11,1.11
227,33.88,63.80,0.70,0.78,0.47,0.16
228,29.13,63.93,2.05,3.42,1.17,0.10
229,48.75,25.08,8.49,10.61,0.05,0.60
230,11.88,0.50,38.40,37.96,4.82,6.32
231,3.12,0,29.73,38.62,0.13,28.40
232,11.62,0.34,17.85,53.48,6.51,10.04
233,0,75.00,0,0,3.12,0
234,3.23,52.42,0,0,0,0
235,1.23,26.99,0.61,1.23,0,0
236,31.54,0,0.47,27.98,0.06,37.58
237,43.97,0,1.22,27.05,0.33,23.95
238,27.34,0,1.16,9.25,0.06,58.32
239,34.33,61.57,0,2.24,0.37,0
240,0,0,0,0,0,0
241,2.05,97.95,0,0,0,0
242,52.21,30.97,3.73,2.84,0.57,8.60
243,40.78,25.44,8.07,4.34,0,20.30
244,0,0,0,0,0,0
245,8.00,82.71,0.28,5.39,0.67,0.17
246,4.11,0.28,2.00,6.61,0.83,85.72
247,53.36,14.57,0.17,5.08,0.28,10.11
248,7.23,40.05,0.18,0.09,27.39,0.98
249,2.93,0.47,0.33,1.00,2.93,6.05
250,2.71,1.07,0,0.17,2.94,0.11
251,80.62,6.16,0.90,8.44,0,2.98
252,73.24,7.72,1.16,15.03,0,2.73
253,86.19,2.61,0.23,7.61,0,3.30
254,0,0,0,0,0,0
255,0,0,7.13,82.45,0,0
256,12.55,1.52,1.10,42.63,0,41.79
257,8.96,2.89,1.79,73.61,0,4.98
258,46.60,0,0.06,3.21,0,50.13
259,69.84,0,0,0,0,27.92
260,88.95,0,0.18,0,0,4.05
261,72.83,23.16,0,0.90,0,0
262,42.32,54.04,0,0.40,0,0
263,75.78,22.72,0,0,0,0
264,0.96,76.02,19.01,1.28,0.06,0
265,6.35,84.35,2.00,0.17,1.89,0.06
266,0,0,0,0,0,0
267,6.56,20.81,33.35,10.78,0,3.82
268,21.83,2.44,11.89,11.61,0,0.61
269,13.06,7.26,6.15,1.76,0,5.62
270,41.46,0,7.32,29.27,0,2.44
271,30.72,2.39,36.52,24.23,0,6.14
272,33.33,0,0,25.64,0,0
273,22.38,14.10,10.19,13.49,0,21.69
274,23.46,7.14,34.85,8.73,0,22.17
275,61.34,22.35,3.25,12.27,0,0.22
276,0,0,0,0,0,0
